reconstruction_loss,quantization_name,beta,encoder offset,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,codebook offset,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,5.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.0045654368586838245,6.0943803787231445,0.00041181687265634537,1.5605004591634497e-05,0.0,0.0,0.0,0.0,0.004398771561682224,6.107187747955322
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,6.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.005280711222440004,6.094298362731934,0.00042887835297733545,1.6070232959464192e-05,0.0,0.0,0.0,0.0,0.004430192988365889,6.0875959396362305
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,6.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004396348260343075,6.102399826049805,0.0004140418313909322,1.5702446034993045e-05,0.0,0.0,0.0,0.0,0.004360722843557596,6.108421325683594
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,6.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004622267559170723,6.096970081329346,0.00042996418778784573,1.6188463632715866e-05,0.0,0.0,0.0,0.0,0.004382410552352667,6.101170063018799
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,0.0,0.004433188587427139,6.01484489440918,0.0008221961907111108,0.0,0.0,0.0,0.0,0.0,0.004259667359292507,5.969088554382324
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,0.0,0.004408099688589573,6.029437065124512,0.0009109392995014787,0.0,0.0,0.0,0.0,0.0,0.0043314797803759575,5.946340560913086
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,0.0,0.00501365028321743,6.02083683013916,0.000762714771553874,0.0,0.0,0.0,0.0,0.0,0.0042659081518650055,6.014891624450684
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,1.0,0.004603833891451359,6.047909736633301,0.0005867638974450529,0.0,0.0,0.0,0.0,0.0,0.004366402514278889,6.0573506355285645
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,1.0,0.004400377627462149,6.007198333740234,0.0007693177321925759,0.0,0.0,0.0,0.0,0.0,0.004290108568966389,5.970813751220703
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,1.0,0.004574917256832123,6.071528434753418,0.0004790949751622975,0.0,0.0,0.0,0.0,0.0,0.004279185552150011,6.087597370147705
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,2.0,0.004367590416222811,6.025533676147461,0.0005744288791902363,0.0,0.0,0.0,0.0,0.0,0.004317626357078552,6.039985656738281
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,2.0,0.004320118576288223,6.024170875549316,0.0007068753475323319,0.0,0.0,0.0,0.0,0.0,0.004283804912120104,6.016490459442139
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,2.0,0.004297736566513777,6.039065361022949,0.000714054040145129,0.0,0.0,0.0,0.0,0.0,0.004297736566513777,6.039065361022949
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,3.0,0.0043088411912322044,6.046657085418701,0.0006566341035068035,0.0,0.0,0.0,0.0,0.0,0.004267641343176365,6.02214241027832
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,3.0,0.004383946303278208,6.046530723571777,0.0006735218339599669,0.0,0.0,0.0,0.0,0.0,0.004307782743126154,6.039458274841309
