reconstruction_loss,quantization_name,beta,in_features,codebook_size,decay,research_mode,val/MultiscaleSpectralLossL1,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MultiscaleSpectralLossL1,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MultiscaleSpectralLossL1,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,8.0,1024.0,0.99,1.0,77723.515625,5.677768707275391,33336.1328125,0.0,76913.90625,5.108739376068115,12799.08203125,0.0,77635.4375,5.123240947723389,28055.984375,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,1.0,256.0,0.99,1.0,75519.078125,4.647998809814453,35.578277587890625,0.0,76190.2109375,4.647588729858398,5.885866641998291,0.0,75519.078125,4.647998809814453,35.578277587890625,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,128.0,256.0,0.99,1.0,87003.4765625,4.030717372894287,5989.59033203125,0.0,84862.6875,4.159265518188477,5032.9052734375,0.0,85247.3125,4.162133693695068,6695.42724609375,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,16.0,256.0,0.99,1.0,88090.59375,4.069008827209473,14391.4765625,0.0,75920.5546875,4.346369743347168,3861.6513671875,0.0,76309.359375,4.354781150817871,4190.763671875,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,2.0,256.0,0.99,1.0,74833.40625,4.645528316497803,7512.8427734375,0.0,74006.3359375,4.669294357299805,2333.227783203125,0.0,74833.40625,4.645528316497803,7512.8427734375,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,32.0,256.0,0.99,1.0,91105.6953125,4.048556804656982,5590.6318359375,0.0,84141.4609375,4.271246433258057,4545.46044921875,0.0,84368.4609375,4.257244110107422,4476.1904296875,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,4.0,256.0,0.99,1.0,67688.953125,4.680331230163574,6721.22119140625,0.0,67602.0390625,4.666115760803223,6520.2568359375,0.0,67688.953125,4.680331230163574,6721.22119140625,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,64.0,256.0,0.99,1.0,75948.1796875,4.583780288696289,8454.6025390625,0.0,74611.03125,4.283392906188965,4009.691650390625,0.0,74939.625,4.284374237060547,4024.684814453125,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,8.0,256.0,0.99,1.0,77801.609375,4.150113582611084,18411.6015625,0.0,72588.5859375,4.498877048492432,9122.4404296875,0.0,72901.8671875,4.512662887573242,23195.81640625,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,1.0,512.0,0.99,1.0,70712.3515625,4.898906707763672,54.611083984375,0.0,70838.21875,4.915453910827637,7.097433090209961,0.0,70583.859375,4.88601016998291,30.41616439819336,0.0
